stop_id,stop_name,stop_lat,stop_lon,wheelchair_boarding,stop_url,location_type,parent_station
11181,KARŞI SOKAK 1,41.147478,30.306306,0,,0,
80408,MİMAR SİNAN ORTAOKULU,40.7727782,29.956771,0,,0,
70432,ADNAN MENDERES İMAM HATİP LİSESİ 1,40.701927,29.818161,0,,0,
90351,KURTYERİ SAHİL YOLU,41.1642015,30.2321916,0,,0,
90080,DALCA 2,41.008127,30.103261,0,,0,
90079,DALCA 1,41.008137,30.103513,0,,0,
96332,TERCAN SOKAK 1,40.7007871,30.1367652,0,,0,
96649,DERBENT ATA İLKOKULU 1,40.70642,30.103964,0,,0,
10557,HEREKE TAŞOCAKLARI 2,40.7930484,29.6376663,0,,0,
10558,HEREKE TAŞOCAKLARI 1,40.79275,29.637823,0,,0,
96382,NUSRETİYE CAMİ 1,40.6958483,30.0914062,0,,0,
90121,MERKEZ ERİKLİ CAMİ 1,41.072155,30.033533,0,,0,
90467,ÖREN CAMİ 1,40.99803,30.077631,0,,0,
80926,HASANOĞLU SAPAĞI,40.794853,30.044527,0,,0,
80925,HASANOĞLU SAPAĞI 1,40.794926,30.044565,0,,0,
90690,YILDIZLI SOKAK,40.7665903,29.7930113,0,,0,
90749,YILDIZLI SOKAK 1,40.7667203,29.7930388,0,,0,
40266,FURKAN SOKAK,40.7758616,29.9680761,0,,0,
40407,BOZKENT SOKAK,40.7011048,29.877921,0,,0,
90616,ÇELİKLER SOKAK,40.7653871,29.8004965,0,,0,
90617,NANE SOKAK,40.7654423,29.8005849,0,,0,
40409,GEDİKLİ SOKAK 1,40.6991305,29.8779723,0,,0,
11213,ARSLANBEY DEPOLAMA ALANI 1,40.699241,30.035862,0,,0,
96581,ARSLANBEY DEPOLAMA ALANI,40.699284,30.035774,0,,0,
96080,TAŞOCAĞI SAPAĞI 2,40.687008,30.033751,0,,0,
10091,PINAR CADDESİ 1,40.710783,29.932247,0,,0,
11458,BEYCE SAPAĞI 2,40.9912982,30.0634369,0,,0,
70462,GÖZLEMEN TEPE,40.708885,29.82019,0,,0,
42001,MUAMMER AKSOY CADDESİ,40.805219,29.430069,0,,0,
41105,AVLUBURUN MEVLEVİ SOKAK,40.770386,30.199482,0,,0,
96519,SARIMEŞE ESKİ GARAJ,40.735047,30.04303,0,,0,
60066,KİRAZPINAR YANYOL,40.8099276,29.4691304,0,,0,
90112,SARNIÇLAR 5,41.021884,30.075403,0,,0,
42333,PAŞAAĞIZI DERESİ 1,41.150406,30.197317,0,,0,
90417,KATÇALI MEVKİİ 1,41.039387,30.082775,0,,0,
90110,KATÇALI MEVKİİ,41.039397,30.082869,0,,0,
10440,YENİKÖY ATAKENT 9/1,40.704483,29.887235,0,,0,
98179,HEREKE KAHVELER 1,40.7869273,29.6185434,0,,0,
10090,PINAR CADDESİ,40.711014,29.932412,0,,0,
41169,İLİM CADDESİ,40.795443,29.7734,0,,0,
81064,ORHANİYE 6,40.859283,30.071041,0,,0,
94198,HAYRİYE MERKEZ,40.633747,29.572943,0,,0,
41760,GEBZE CENTER AVM,40.796844,29.442766,0,,0,
11460,EGERCİLİ OKUL,40.9952069,30.022915,0,,0,
20221,ÇAYIROVA ZİRAAT BANKASI 1,40.8260673,29.3734356,0,,0,
41485,CUMHURİYET ANADOLU LİSESİ,40.81619,29.38575,0,,0,
60141,YILDIRIM CADDESİ 1,40.814491,29.3784568,0,,0,
10434,KOMUTAN SOKAK 1,40.69776,29.888063,0,,0,
41816,NACİ SOKAK,40.7936173,29.3726133,0,,0,
