kiosk_no,owner,distirict,term_no,lat,lon,title,term_type,address
0040000470,SARAY OTOGAZ AKARYAKIT NAK. SAN. TİC,null,00530,40.716084,29.752464,SARAY OTOGAZ AKARYAKIT NAK. SAN. TİC,0,D.YOLU ALTI BP YAN KAYTAZDERE ALTINOVA/KOCAELİ
0040000477,HATİCE ŞİRİN,null,00537,40.721012,29.820603,ŞİRİN KIRTASİYE,0,MERKEZ MAH. M.F.ÇAKMAK CAD. NO:26 GÖLCÜK/KOCAELİ
0040000487,HAKAN YETİM,null,00547,40.710099,29.903746,BİMA MARKET,0,SEYMEN MAH. BAHÇECİK HÜRRİYET CAD. NO:1/A BAŞİSKELE/KOCAELİ
0040000495,AHMET KARAASLAN,null,00555,40.76374,29.929219,KARAASLAN BÜFE,0,HÜRRİYET CAD. AYDOĞAN İŞ MRKZ. NO:131 İZMİT/KOCAELİ
0040000498,ÇAVDAR OTOMOTİV İNŞ. TURİZM NAK. SAN. TİC LTD. ŞTİ,null,00558,40.718591,29.821523,ÇAVDAR OTOMOTİV İNŞ. TURİZM NAK. SAN. TİC LTD. ŞTİ,0,MERKEZ MAH CUMHURİYET CAD NO:32/A GÖLCÜK/KOCAELİ
0040000508,HASAN AVŞAR,null,00568,40.824285,29.38491,AVŞAR GIDA,0,İNÖNÜ MAH. MUAMMER AKSOY CAD. NO:192/A GEBZE
0040000512,NİZAMETTİN KORKMAZ,null,00572,40.803027,29.96961,KORKMAZ MARKET,0,GÜNDOĞDU MAH. 2 BÖLGE BARIŞ BÜFE KAR. İZMİT/KOCAELİ
0040000513,ESA PETROL NAK. TAH. TİC. LTD. ŞTİ,null,00573,40.75663,29.806983,ESA PETROL NAK. TAH. TİC. LTD. ŞTİ,0,YAVUZ SULTAN MAH. KAŞKALDERE POET İST. NO:4 DERİNCE/KOCAELİ
0040000516,HAKAN İNAN,null,00576,40.765101,29.84257,BEDESTAN MARKET,0,ÖMER AĞA MAH. FETHİYE CAD GÖKSELLER İŞHANI NO:85 İZMİT/KOCAELİ
0040000518,MUHERREM ERDİNÇ YÜKSEL,null,00578,40.763683,29.917291,YÜKSEL MARKET,0,KOZLUK MAH DUT SOK NO:10 İZMİT/KOCAELİ
0040000519,GENDEM TEKSTİL ÜRÜNLERİ TİC. LTD. ŞTİ,null,00579,40.717462,29.822599,GENDEM TEKSTİL ÜRÜNLERİ TİC. LTD. ŞTİ,0,MERKEZ MAH PREVEZE CAD 14.SOK NO:6 GÖLCÜK / KOCAELİ
0040000530,ÖZBEY URALKAYA,null,01599,40.764234,29.875482,DALLAS BÜFE 3,0,KURUÇEŞME DOĞAN MAH. ŞİRİNTEPE YOLU GİRİŞ NO:4 İZMİT/KOCAELİ
0040000530,ÖZBEY URALKAYA,null,00931,40.762257,29.877251,DALLAS BÜFE 3,0,KURUÇEŞME DOĞAN MAH. ŞİRİNTEPE YOLU GİRİŞ NO:4 İZMİT/KOCAELİ
0040000530,ÖZBEY URALKAYA,null,00590,40.764289,29.875561,DALLAS BÜFE 3,0,KURUÇEŞME DOĞAN MAH. ŞİRİNTEPE YOLU GİRİŞ NO:4 İZMİT/KOCAELİ
0040000539,OKAN KILIÇ,null,00599,40.774486,29.399083,EKO MİNİ MARKET,0,K.KARABEKİR MAH. A.VEYSEL CAD.NO:84/A GEBZE/KOCAELİ
0040000540,MUHAMMET ASLAN,null,00600,40.758885,29.804086,ERSİN MARKET,0,İBNİ SİNA MAH. DEĞİRMEN SOK. NO:14  DERİNCE/KOCAELİ
0040000837,SELİM ÖRNEK,null,01714,40.807343,29.431484,ÖRNEK İLETİŞİM,0,FEVZİ ÇAKMAK MAH. SEMT İSTASYON CAD. NO:534/A DARICA/KOCAELİ
0040000837,SELİM ÖRNEK,null,00912,40.784426,29.616063,ÖRNEK İLETİŞİM,0,FEVZİ ÇAKMAK MAH. SEMT İSTASYON CAD. NO:534/A DARICA/KOCAELİ
0040000851,FATİH ÖZTÜRK,null,00927,40.790449,29.541632,SERKAN İLETİŞİM-2,0,MİMAR SİNAN MAH. SEMT İSTİKBAL CAD. 63 B DİLOVASI/KOCAELİ
0040000870,MERYEM KAVŞUT,null,00947,40.770448,29.89217,EMEK BÜFE,0,SERDAR MAH. SEMT ARIZLI CAD. NO:7 İZMİT/KOCAELİ
0040000896,ERKAN SAROĞLU,null,00978,40.76448,29.935761,GÜNEŞLİ BAŞAK MARKET,0,CUMHURİYET MAH. DENİZ SK. BALABAN DOĞAR SİT. NO:1 İZMİT/KOCAELİ
